word,freq
,4168
use,626
structured,18
suggestions,59
for,1715
nonexistent,4
fields,51
r,1409
estebank,70
add,666
-z,38
instrument-mcount,1
this,1655
flag,82
inserts,1
mcount,1
function,205
call,129
to,2175
the,2224
beginning,9
of,1630
every,37
after,179
inline,64
processing,18
so,499
tracing,8
tools,45
like,299
uftrace,1
1,373
or,352
ftrace,1
linux,35
kernel,9
modules,39
have,404
a,1703
chance,6
examine,2
calls,61
it,1064
is,1336
similar,40
-pg,1
provided,34
by,591
gcc,15
clang,24
but,618
without,141
generating,19
gmon,1
start,77
executables,5
if,602
program,30
runs,37
being,148
traced,1
no,286
out,251
will,301
be,783
written,21
disk,9
under,49
hood,2
simply,33
adds,180
instrument-function-entry-inlined,1
attribute,89
post-inline-ee-instrument,1
llvm,212
pass,100
does,172
actual,31
job,13
https,444
github,284
com,357
namhyung,1
group,13
dep,7
node,19
data,77
into,341
single,53
structure,21
michaelwoerister,69
do,298
not,817
complain,2
about,173
missing,117
crate,204
named,28
as,761
keyword,33
fix,888
57198,1
specific,30
diagnostic,60
when,654
attempting,19
transmute,11
between,87
equal,13
generic,57
types,187
also,422
clarifies,4
wording,28
e0512,1
fixes,1008
uninline,1
some,511
debugging,21
code,398
and,1476
unlikely,9
macro,207
submodules,39
update,381
clippy,105
from,734
f7bdf500,1
39bd8449,1
toolstate,28
changes,226
ui,91
test,391
cleanup,63
extract,10
iter,47
skip,30
next,53
methods,104
rs,222
output,98
rebase,12
remove,397
false,41
negatives,2
known,29
problems,26
implement,145
self,106
tuple,29
structs,34
document,62
rustup,23
unnecessary,61
statements,26
cargo,138
apply,32
--edition-idioms,1
match,114
ergonomics,4
booleans,2
lint,143
block,53
in,1837
condition,15
bit,90
mask,3
attrs,6
assign,11
ops,21
artithmetic,1
approx,3
const,114
prefixes,3
paths,76
support,136
array,46
indexing,17
expressions,33
unused,93
write,70
constant,38
mark,31
writes,4
constants,38
side-effect-less,1
readme,21
local,85
run,171
command,41
syspath,2
unsafe,41
consts,16
lints,56
formatting,32
merge,84
new,322
default,157
derive,34
only,374
print,54
question,18
actually,130
triggered,10
failing,27
reinserted,1
commata,1
recomend,1
ref,51
certain,28
situations,11
deduplicate,15
oli-obk,113
anyone,17
else,48
improve,134
error,405
recovery,8
built-in,16
macros,100
make,393
std,222
cmp,8
ord,8
documentation,171
specify,24
what,189
means,66
agree,2
with,847
paritaleq,1
resolves,41
57157,1
suggest,99
appropriate,41
option,123
result,95
55198,1
mention,31
tostring,2
fmt,36
docs,213
i,773
believe,29
should,379
added,185
because,264
x,159
string,111
preferred,9
over,78
format,54
recommended,5
way,151
convert,22
value,123
where,260
people,31
look,57
thus,37
we,621
include,71
references,58
functions,137
there,302
55065,1
resolve,93
one,267
more,388
ice,124
import,69
validation,19
you,157
an,567
unresolved,11
